name,siret,address,legalRepresentative,fiscalYearEndDate,email,phone
ADEH SECURITE PRIVEE,83456789000018,"1 Rue de la Liberté, 75001 Paris","Dirigeant ADEH","31/12","contact@adehsecurite.fr","0123456789"
AKCOM SERVICES,83456789000019,"2 Rue de la Paix, 75002 Paris","Dirigeant AKCOM","31/12","contact@akcomservices.fr","0123456790"
ALINE FIBER,83456789000020,"3 Avenue des Champs-Élysées, 75008 Paris","Dirigeant ALINE","31/12","contact@alinefiber.fr","0123456791"
ASP AGENCE SECURITE PRIVEE,83456789000021,"4 Boulevard Saint-Germain, 75005 Paris","Dirigeant ASP","31/12","contact@aspagence.fr","0123456792"
AY CONSEILS,83456789000022,"5 Place de la Concorde, 75008 Paris","Dirigeant AY","31/12","contact@ayconseils.fr","0123456793"
AYA CONSULTING,83456789000023,"6 Rue de Rivoli, 75001 Paris","Dirigeant AYA","31/12","contact@ayaconsulting.fr","0123456794"
B6 CONCEPT,83456789000024,"7 Avenue de l'Opéra, 75001 Paris","Dirigeant B6","31/12","contact@b6concept.fr","0123456795"
BARTEK,83456789000025,"8 Place Vendôme, 75001 Paris","Dirigeant BARTEK","31/12","contact@bartek.fr","0123456796"
BAT PRO SERVICES,83456789000026,"9 Rue du Faubourg Saint-Honoré, 75008 Paris","Dirigeant BAT","31/12","contact@batproservices.fr","0123456797"
BTL SERVICES,83456789000027,"10 Avenue Montaigne, 75008 Paris","Dirigeant BTL","31/12","contact@btlservices.fr","0123456798"
BTB FIBER,83456789000028,"11 Boulevard Haussmann, 75009 Paris","Dirigeant BTB","31/12","contact@btbfiber.fr","0123456799"
C.R.A.I,83456789000029,"12 Rue de la Roquette, 75011 Paris","Dirigeant CRAI","31/12","contact@crai.fr","0123456800"
CASH CAR,83456789000030,"13 Rue Oberkampf, 75011 Paris","Dirigeant CASH","31/12","contact@cashcar.fr","0123456801"
CLEAN SERVICES PLUS,83456789000031,"14 Avenue de la République, 75011 Paris","Dirigeant CLEAN","31/12","contact@cleanservicesplus.fr","0123456802"
CORNER STONE,83456789000032,"15 Boulevard Voltaire, 75011 Paris","Dirigeant CORNER","31/12","contact@cornerstone.fr","0123456803"
DB CONSULTING,83456789000033,"16 Rue de Charonne, 75011 Paris","Dirigeant DB","31/12","contact@dbconsulting.fr","0123456804"
DS LOGISTIQUE,83456789000034,"17 Rue de la Bastille, 75004 Paris","Dirigeant DS","31/12","contact@dslogistique.fr","0123456805"
EPSP EVIDENCE PROTECTION SECURITE PRIVEE,83456789000035,"18 Place des Vosges, 75004 Paris","Dirigeant EPSP","31/12","contact@epsp.fr","0123456806"
EUROTEL,83456789000036,"19 Rue des Archives, 75004 Paris","Dirigeant EUROTEL","31/12","contact@eurotel.fr","0123456807"
EXPERT LIV,83456789000037,"20 Rue Vieille du Temple, 75004 Paris","Dirigeant EXPERT","31/12","contact@expertliv.fr","0123456808"
FLAYE BAT,83456789000038,"21 Rue des Francs Bourgeois, 75004 Paris","Dirigeant FLAYE","31/12","contact@flayebat.fr","0123456809"
FTS FIBER TECHNOLOGIES SOLUTIONS,83456789000039,"22 Rue de Turenne, 75003 Paris","Dirigeant FTS","31/12","contact@ftssolutions.fr","0123456810"
GRAND EST PROTECT,83456789000040,"23 Rue de Bretagne, 75003 Paris","Dirigeant GRAND","31/12","contact@grandestprotect.fr","0123456811"
H.B.S.B EQUIPEMENT,83456789000041,"24 Rue de Sévigné, 75004 Paris","Dirigeant HBSB","31/12","contact@hbsbequipement.fr","0123456812"
HBS,83456789000042,"25 Rue du Temple, 75004 Paris","Dirigeant HBS","31/12","contact@hbs.fr","0123456813"
HBSB SECURITE +,83456789000043,"26 Rue Rambuteau, 75004 Paris","Dirigeant HBSB+","31/12","contact@hbsbsecuriteplus.fr","0123456814"
HD AUTOMOBILE,83456789000044,"27 Rue des Rosiers, 75004 Paris","Dirigeant HD","31/12","contact@hdautomobile.fr","0123456815"
HYGIE SERVICE,83456789000045,"28 Place du Marché Sainte-Catherine, 75004 Paris","Dirigeant HYGIE","31/12","contact@hygieservice.fr","0123456816"
ICE SECURITY,83456789000046,"29 Rue du Parc Royal, 75003 Paris","Dirigeant ICE","31/12","contact@icesecurity.fr","0123456817"
L'ATELIER PARIS PIZZAS,83456789000047,"30 Rue Charlot, 75003 Paris","Dirigeant L'ATELIER","31/12","contact@latelierparispizzas.fr","0123456818"
LEA TRANSPORT,83456789000048,"31 Rue de Poitou, 75003 Paris","Dirigeant LEA","31/12","contact@leatransport.fr","0123456819"
MELY COIFFURE,83456789000049,"32 Rue de Saintonge, 75003 Paris","Dirigeant MELY","31/12","contact@melycoiffure.fr","0123456820"
POWERFUL SECURITE,83456789000050,"33 Rue de Thorigny, 75003 Paris","Dirigeant POWERFUL","31/12","contact@powerfulsecurite.fr","0123456821"
PRO 2M SERVICES,83456789000051,"34 Rue Debelleyme, 75003 Paris","Dirigeant PRO2M","31/12","contact@pro2mservices.fr","0123456822"
QA SOFTWARE LAB,83456789000052,"35 Rue Pastourelle, 75003 Paris","Dirigeant QA","31/12","contact@qasoftwarelab.fr","0123456823"
QUALIREN,83456789000053,"36 Rue des Quatre Fils, 75003 Paris","Dirigeant QUALIREN","31/12","contact@qualiren.fr","0123456824"
ROBAK.P,83456789000054,"37 Rue de Montmorency, 75003 Paris","Dirigeant ROBAK","31/12","contact@robakp.fr","0123456825"
SANTA PROTECTION,83456789000055,"38 Rue Michel-le-Comte, 75003 Paris","Dirigeant SANTA","31/12","contact@santaprotection.fr","0123456826"
SIMSECURITE PRIVEE,83456789000056,"39 Rue Chapon, 75003 Paris","Dirigeant SIMSECURITE","31/12","contact@simsecurite.fr","0123456827"
SM SOFTWARE TESTING,83456789000057,"40 Rue Beaubourg, 75003 Paris","Dirigeant SM","31/12","contact@smsoftwaretesting.fr","0123456828"
SORFI,83456789000058,"41 Rue du Grenier-Saint-Lazare, 75003 Paris","Dirigeant SORFI","31/12","contact@sorfi.fr","0123456829"
TK SERVICES,83456789000059,"42 Rue Quincampoix, 75004 Paris","Dirigeant TK","31/12","contact@tkservices.fr","0123456830"
TM SERVICES PLUS,83456789000060,"43 Rue Saint-Merri, 75004 Paris","Dirigeant TM","31/12","contact@tmservicesplus.fr","0123456831"
TNSAM,83456789000061,"44 Rue de la Verrerie, 75004 Paris","Dirigeant TNSAM","31/12","contact@tnsam.fr","0123456832"
TRANSFASTE,83456789000062,"45 Rue du Roi de Sicile, 75004 Paris","Dirigeant TRANSFASTE","31/12","contact@transfaste.fr","0123456833"
TT BATIMENT,83456789000063,"46 Rue François Miron, 75004 Paris","Dirigeant TT","31/12","contact@ttbatiment.fr","0123456834"
ULTIME GUARD,83456789000064,"47 Rue de Jouy, 75004 Paris","Dirigeant ULTIME","31/12","contact@ultimeguard.fr","0123456835"
VGS AUTOS,83456789000065,"48 Rue de l'Hôtel-de-Ville, 75004 Paris","Dirigeant VGS","31/12","contact@vgsautos.fr","0123456836"
V N T VIVANETT-VIVACARWASH,83456789000066,"49 Pont Marie, 75004 Paris","Dirigeant VNT","31/12","contact@vntvivanett.fr","0123456837"
WALT SERVICES,83456789000067,"50 Quai des Célestins, 75004 Paris","Dirigeant WALT","31/12","contact@waltservices.fr","0123456838"
WINGS SECURITY PRIVEE,83456789000068,"51 Boulevard Henri IV, 75004 Paris","Dirigeant WINGS","31/12","contact@wingssecurity.fr","0123456839"
XXXXXXXXXXXBR SCORPION,83456789000069,"52 Rue de la Cerisaie, 75004 Paris","Dirigeant SCORPION","31/12","contact@brscorpion.fr","0123456840"
ZEN SECURITY,83456789000070,"53 Rue Saint-Antoine, 75004 Paris","Dirigeant ZEN","31/12","contact@zensecurity.fr","0123456841"
ZLS SECURITE,83456789000071,"54 Rue de Turenne, 75003 Paris","Dirigeant ZLS","31/12","contact@zlssecurite.fr","0123456842"
