name,siret,address,legalRepresentative,fiscalYearEndDate,email,phone
1.2.3. VTC,91012345600010,"1 Rue de la Liberté, 75001 Paris","Alice VTC","31/12","contact@123vtc.com","0102030405"
ACTION AVENTURE,84042838300010,"15 Rue de la Republique, 69002 Lyon","Jean Aventure","31/12","contact@actionaventure.com","0405060708"
AL'IVERNA,89012345600011,"2 Avenue des Platanes, 13001 Marseille","Bernard Aliverna","31/12","contact@aliverna.com","0203040506"
AUTO ECOLE DE LA MAIRIE,83972846400018,"2 Place de la Mairie, 94450 Limeil-Brevannes","Marie Conduite","31/12","contact@autoecolemairie.com","0304050607"
BODY MINUTE,53293123800019,"6 Rue de la Paix, 75002 Paris","Sophie Bienetre","31/03","contact@bodyminute.com","0506070809"
CABINET FLORET,81234567800010,"12 Avenue des Fleurs, 06000 Nice","Pierre Floret","30/09","contact@cabinetfloret.com","0607080910"
CABINET MEDICAL,92012345600012,"3 Rue du Docteur, 69003 Lyon","Carla Med","31/12","contact@cabinetmedical.com","0708091011"
COCOON,93012345600013,"4 Boulevard de la Douceur, 75015 Paris","Diane Cocoon","31/12","contact@cocoon.com","0809101112"
CREPERIE,94012345600014,"5 Place du Marché, 35000 Rennes","Gwen Crepe","31/12","contact@creperie.com","0910111213"
GRILL,95012345600015,"6 Avenue du Grill, 31000 Toulouse","Gary Grill","31/12","contact@grill.com","1011121314"
LA BOUCHERIE,96012345600016,"7 Rue de la Viande, 69005 Lyon","Henri Boucher","31/12","contact@laboucherie.com","1112131415"
LA FINANCIERE DE L'ETOILE,97012345600017,"8 Place de l'Etoile, 75008 Paris","Eve Financiere","31/12","contact@financiere-etoile.com","1213141516"
LE FOURNIL DE PIERRE,98012345600018,"9 Rue du Pain, 75006 Paris","Pierre Boulanger","31/12","contact@fournilpierre.com","1314151617"
LE RELAIS DE LA POSTE,99012345600019,"10 Place de la Poste, 33000 Bordeaux","Luc Postier","31/12","contact@relaisposte.com","1415161718"
LES GOURMANDISES,10012345600010,"11 Rue des Gâteaux, 75004 Paris","Laura Gourmande","31/12","contact@lesgourmandises.com","1516171819"
PIZZA,10112345600011,"12 Avenue de la Pizza, 13008 Marseille","Paolo Pizza","31/12","contact@pizza.com","1617181920"
RESTAURANT,10212345600012,"13 Rue du Restaurant, 69001 Lyon","Rémi Resto","31/12","contact@restaurant.com","1718192021"
RESTAURANT LA PROMENADE,10312345600013,"14 Quai de la Promenade, 06000 Nice","Paul Promeneur","31/12","contact@lapromenade.com","1819202122"
SARL GARAGE DE LA VALLEE,10412345600014,"15 Route de la Vallée, 74000 Annecy","Guy Garage","31/12","contact@garagedelavallee.com","1920212223"
SARL LAURIER,10512345600015,"16 Rue du Laurier, 75010 Paris","Laure Laurier","31/12","contact@laurier.com","2021222324"
SOCADIS,10612345600016,"17 Avenue de la Distribution, 94150 Rungis","Marc Socadis","31/12","contact@socadis.com","2122232425"
STARBUCKS,10712345600017,"18 Boulevard des Capucines, 75009 Paris","Sam Starbucks","31/12","contact@starbucks.fr","2223242526"
VSW SAS,98487625800011,"10 Rue de la Paix, 75002 Paris","Victor Hugo","31/12","contact@vswsas.com","0405060709"
